Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DownloadDiagnostics.ROMTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:dateTime,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TCPOpenRequestTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:dateTime,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TCPOpenResponseTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:dateTime,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TestBytesReceived,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TestBytesReceivedUnderFullLoading,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TimeBasedTestDuration,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TimeBasedTestMeasurementInterval,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TimeBasedTestMeasurementOffset,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TotalBytesReceived,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TotalBytesReceivedUnderFullLoading,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TotalBytesSent,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TotalBytesSentUnderFullLoading,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.HWQoS_iptv,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.HWQoS_iptv.DownTotalBW,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.HWQoS_iptv.Enable,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"false",xsd:boolean,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.HWQoS_iptv.IptvBW,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DSCP,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"64",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"None",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.FailureCount,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
